City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
192,Mairana,BO,56.5,overcast clouds,-18.12,-63.93,Mi Terruño
193,San Patricio,MX,78.8,moderate rain,19.22,-104.7,Hotel Cabo Blanco
194,Diu,IN,80.44,light rain,20.71,70.98,Hotel Relax Inn
195,Iqaluit,CA,42.8,broken clouds,63.75,-68.51,Frobisher Inn
196,Poum,NC,69.62,clear sky,-20.23,164.02,Gîte kajeon
197,Tsabong,BW,34.99,clear sky,-26.02,22.4,Springbok Motel
198,Ngunguru,NZ,64.99,light rain,-35.62,174.5,Pacific Rendezvous Motel Resort
199,Marawi,PH,77.0,overcast clouds,8.0,124.29,Salihmaruhom
200,San Carlos De Bariloche,AR,30.2,few clouds,-41.15,-71.31,Hotel Patagonia
201,Surgut,RU,57.2,light intensity shower rain,61.25,73.42,Business Hotel
202,Sibu,MY,75.2,scattered clouds,2.3,111.82,RH HOTEL (4 Star)
203,Benjamin Hill,MX,100.0,clear sky,30.17,-111.1,Luis Guillermo García Medina
204,Menongue,AO,51.31,clear sky,-14.66,17.69,Ritz Lauca
205,Weyburn,CA,89.01,clear sky,49.67,-103.85,Perfect Inns & Suites
207,Hudson Bay,CA,77.67,clear sky,52.85,-102.38,Norwood Motel LTD
208,Monrovia,LR,75.9,light rain,6.3,-10.8,Eco-Hotel Hall & Restaurant
209,Sao Gabriel Da Cachoeira,BR,75.36,overcast clouds,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
211,Nizwa,OM,89.46,overcast clouds,22.93,57.53,Orient Apartments
212,Vargashi,RU,50.58,moderate rain,55.36,65.85,Tourist hotel
213,Matamoros,MX,89.6,broken clouds,25.53,-103.25,Recreativo Sabdy Briseidy
214,Whitecourt,CA,84.2,broken clouds,54.15,-115.69,Super 8 by Wyndham Whitecourt
216,Nurota,UZ,60.8,clear sky,40.56,65.69,Guest House Ruslan Nurata & Tours
217,Puerto Escondido,MX,82.4,overcast clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
218,Zatoka,UA,62.6,clear sky,46.07,30.47,Solnechnaya
